chromosome	name	start	stop	length	penalty
Spolyrhiza9509_20150416_chr17	Sp17G03670	2496871	2497143	273	4.394
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608863	3609136	274	4.243
Spolyrhiza9509_20150416_chr02	Sp02G05200	3703306	3703579	274	0.577
Spolyrhiza9509_20150416_chr09	Sp09G01080	565934	566207	274	2.372
Spolyrhiza9509_20150416_chr17	Sp17G01730	1097766	1098039	274	1
Spolyrhiza9509_20150416_chr17	Sp17G03670	2499948	2500221	274	0.076
Spolyrhiza9509_20150416_chr01	Sp01G05310	3303491	3303765	275	0.147
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608250	3608524	275	3.274
Spolyrhiza9509_20150416_chr02	Sp02G05200	3714005	3714279	275	5.315
Spolyrhiza9509_20150416_chr07	Sp07G05550	5242126	5242400	275	0.284
Spolyrhiza9509_20150416_chr07	Sp07G05550	5243202	5243476	275	0.286
Spolyrhiza9509_20150416_chr11	Sp11G07140	5958141	5958415	275	4.149
Spolyrhiza9509_20150416_chr14	Sp14G01800	1137776	1138050	275	4.987
Spolyrhiza9509_20150416_chr17	Sp17G02470	1614513	1614787	275	0.073
Spolyrhiza9509_20150416_chr17	Sp17G03520	2356743	2357017	275	0.142
Spolyrhiza9509_20150416_chr02	Sp02G05200	3717099	3717374	276	6.531
Spolyrhiza9509_20150416_chr07	Sp07G05410	5060425	5060700	276	0.942
Spolyrhiza9509_20150416_chr11	Sp11G07140	5957823	5958098	276	2.858
Spolyrhiza9509_20150416_chr11	Sp11G07150	5965496	5965771	276	3.283
Spolyrhiza9509_20150416_chr17	Sp17G01700	1067265	1067540	276	1.631
Spolyrhiza9509_20150416_chr17	Sp17G01730	1096374	1096649	276	3.118
Spolyrhiza9509_20150416_chr17	Sp17G03520	2356883	2357158	276	1.006
Spolyrhiza9509_20150416_chr17	Sp17G03520	2357501	2357776	276	0.294
Spolyrhiza9509_20150416_chr17	Sp17G03660	2465549	2465824	276	7.563
Spolyrhiza9509_20150416_chr17	Sp17G03670	2491784	2492059	276	0.563
Spolyrhiza9509_20150416_chr17	Sp17G03670	2501409	2501684	276	1.079
Spolyrhiza9509_20150416_chr01	Sp01G05310	3303174	3303450	277	0.219
Spolyrhiza9509_20150416_chr02	Sp02G05200	3713546	3713822	277	0.363
Spolyrhiza9509_20150416_chr07	Sp07G05550	5241952	5242228	277	0.283
Spolyrhiza9509_20150416_chr17	Sp17G02660	1724588	1724864	277	0.065
Spolyrhiza9509_20150416_chr17	Sp17G03410	2317625	2317901	277	1.644
Spolyrhiza9509_20150416_chr17	Sp17G03410	2318963	2319239	277	1.311
Spolyrhiza9509_20150416_chr17	Sp17G03670	2494710	2494986	277	1.749
Spolyrhiza9509_20150416_chr17	Sp17G03670	2497460	2497736	277	6.02
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608216	3608493	278	12.88
Spolyrhiza9509_20150416_chr07	Sp07G05540	5222273	5222550	278	7.111
Spolyrhiza9509_20150416_chr11	Sp11G07140	5957496	5957773	278	8.112
Spolyrhiza9509_20150416_chr13	Sp13G02790	2823224	2823501	278	1.058
Spolyrhiza9509_20150416_chr14	Sp14G06380	4805248	4805525	278	2.786
Spolyrhiza9509_20150416_chr17	Sp17G01730	1092861	1093138	278	15.31
Spolyrhiza9509_20150416_chr17	Sp17G02470	1615761	1616038	278	4.498
Spolyrhiza9509_20150416_chr17	Sp17G02500	1638192	1638469	278	0.634
Spolyrhiza9509_20150416_chr17	Sp17G03520	2358499	2358776	278	0.215
Spolyrhiza9509_20150416_chr17	Sp17G03670	2492866	2493143	278	1.517
Spolyrhiza9509_20150416_chr03	Sp03G02530	1677666	1677944	279	3.108
Spolyrhiza9509_20150416_chr07	Sp07G05540	5221652	5221930	279	6.272
Spolyrhiza9509_20150416_chr07	Sp07G05550	5241846	5242124	279	0.274
Spolyrhiza9509_20150416_chr17	Sp17G01700	1067704	1067982	279	3.173
Spolyrhiza9509_20150416_chr17	Sp17G02470	1614047	1614325	279	0.719
Spolyrhiza9509_20150416_chr17	Sp17G02470	1615810	1616088	279	4.502
Spolyrhiza9509_20150416_chr17	Sp17G03440	2337229	2337507	279	1.073
Spolyrhiza9509_20150416_chr17	Sp17G03670	2486845	2487123	279	0.283
Spolyrhiza9509_20150416_chr05	Sp05G06860	5888075	5888354	280	0.933
Spolyrhiza9509_20150416_chr07	Sp07G05540	5221456	5221735	280	8.465
Spolyrhiza9509_20150416_chr07	Sp07G05540	5222114	5222393	280	6.272
Spolyrhiza9509_20150416_chr13	Sp13G03150	3077976	3078255	280	0.143
Spolyrhiza9509_20150416_chr17	Sp17G01700	1069493	1069772	280	1.476
Spolyrhiza9509_20150416_chr17	Sp17G01730	1096815	1097094	280	5.428
Spolyrhiza9509_20150416_chr17	Sp17G02470	1613610	1613889	280	3.256
Spolyrhiza9509_20150416_chr17	Sp17G02470	1614202	1614481	280	1.852
Spolyrhiza9509_20150416_chr17	Sp17G03440	2338029	2338308	280	0.499
Spolyrhiza9509_20150416_chr17	Sp17G03520	2358244	2358523	280	1.182
Spolyrhiza9509_20150416_chr02	Sp02G05200	3713294	3713574	281	5.998
Spolyrhiza9509_20150416_chr02	Sp02G05200	3714408	3714688	281	4.426
Spolyrhiza9509_20150416_chr02	Sp02G05200	3718622	3718902	281	1.969
Spolyrhiza9509_20150416_chr11	Sp11G07150	5966856	5967136	281	1.967
Spolyrhiza9509_20150416_chr17	Sp17G01700	1069678	1069958	281	1.165
Spolyrhiza9509_20150416_chr17	Sp17G01730	1097285	1097565	281	0.067
Spolyrhiza9509_20150416_chr17	Sp17G02470	1613641	1613921	281	1.466
Spolyrhiza9509_20150416_chr17	Sp17G03670	2500449	2500729	281	0.351
Spolyrhiza9509_20150416_chr05	Sp05G06860	5887017	5887298	282	3.368
Spolyrhiza9509_20150416_chr07	Sp07G05580	5275082	5275363	282	11.91
Spolyrhiza9509_20150416_chr17	Sp17G03520	2357555	2357836	282	1.141
Spolyrhiza9509_20150416_chr17	Sp17G03670	2482538	2482819	282	0.215
Spolyrhiza9509_20150416_chr02	Sp02G05200	3705232	3705514	283	5.965
Spolyrhiza9509_20150416_chr07	Sp07G05540	5221810	5222092	283	0.504
Spolyrhiza9509_20150416_chr07	Sp07G05550	5242402	5242684	283	0.855
Spolyrhiza9509_20150416_chr11	Sp11G07140	5957748	5958030	283	7.22
Spolyrhiza9509_20150416_chr17	Sp17G01700	1067904	1068186	283	3.781
Spolyrhiza9509_20150416_chr17	Sp17G01700	1068428	1068710	283	0.215
Spolyrhiza9509_20150416_chr17	Sp17G01730	1082389	1082671	283	0.143
Spolyrhiza9509_20150416_chr17	Sp17G02470	1614288	1614570	283	0.577
Spolyrhiza9509_20150416_chr17	Sp17G03670	2483017	2483299	283	6.053
Spolyrhiza9509_20150416_chr17	Sp17G03670	2491338	2491620	283	0.072
Spolyrhiza9509_20150416_chr17	Sp17G03670	2501257	2501539	283	1.051
Spolyrhiza9509_20150416_chr07	Sp07G05580	5274831	5275114	284	11.32
Spolyrhiza9509_20150416_chr07	Sp07G05580	5275980	5276263	284	5.561
Spolyrhiza9509_20150416_chr12	Sp12G06020	5353988	5354271	284	8.703
Spolyrhiza9509_20150416_chr13	Sp13G02790	2823618	2823901	284	1.833
Spolyrhiza9509_20150416_chr17	Sp17G01700	1067204	1067487	284	4.726
Spolyrhiza9509_20150416_chr17	Sp17G01730	1083432	1083715	284	0.215
Spolyrhiza9509_20150416_chr17	Sp17G01730	1105359	1105642	284	0.7
Spolyrhiza9509_20150416_chr17	Sp17G02670	1727974	1728257	284	1.166
Spolyrhiza9509_20150416_chr17	Sp17G03440	2338400	2338683	284	2.923
Spolyrhiza9509_20150416_chr17	Sp17G03520	2358000	2358283	284	2.284
Spolyrhiza9509_20150416_chr02	Sp02G05200	3702538	3702822	285	8.274
Spolyrhiza9509_20150416_chr12	Sp12G06020	5353897	5354181	285	7.206
Spolyrhiza9509_20150416_chr13	Sp13G02790	2823680	2823964	285	5.582
Spolyrhiza9509_20150416_chr17	Sp17G01700	1066953	1067237	285	7.195
Spolyrhiza9509_20150416_chr17	Sp17G01730	1093584	1093868	285	2.369
Spolyrhiza9509_20150416_chr17	Sp17G02470	1616040	1616324	285	2.455
Spolyrhiza9509_20150416_chr17	Sp17G03410	2318766	2319050	285	0.721
Spolyrhiza9509_20150416_chr17	Sp17G03410	2319091	2319375	285	0.149
Spolyrhiza9509_20150416_chr17	Sp17G03670	2497506	2497790	285	5.103
Spolyrhiza9509_20150416_chr17	Sp17G03670	2500628	2500912	285	1.199
Spolyrhiza9509_20150416_chr02	Sp02G05200	3705481	3705766	286	6.936
Spolyrhiza9509_20150416_chr02	Sp02G05200	3715888	3716173	286	7.692
Spolyrhiza9509_20150416_chr02	Sp02G05200	3716019	3716304	286	5.301
Spolyrhiza9509_20150416_chr05	Sp05G06860	5887300	5887585	286	8.307
Spolyrhiza9509_20150416_chr07	Sp07G05550	5242636	5242921	286	2.265
Spolyrhiza9509_20150416_chr09	Sp09G01080	566253	566538	286	8.285
Spolyrhiza9509_20150416_chr12	Sp12G05320	4443909	4444194	286	1.25
Spolyrhiza9509_20150416_chr17	Sp17G01700	1069424	1069709	286	2.823
Spolyrhiza9509_20150416_chr17	Sp17G01730	1105424	1105709	286	1.105
Spolyrhiza9509_20150416_chr17	Sp17G02470	1615876	1616161	286	4.481
Spolyrhiza9509_20150416_chr17	Sp17G03410	2321139	2321424	286	0.072
Spolyrhiza9509_20150416_chr02	Sp02G05200	3707637	3707923	287	3.372
Spolyrhiza9509_20150416_chr02	Sp02G05700	4020488	4020774	287	0.071
Spolyrhiza9509_20150416_chr09	Sp09G01080	563237	563523	287	14.84
Spolyrhiza9509_20150416_chr11	Sp11G07140	5957880	5958166	287	5.146
Spolyrhiza9509_20150416_chr13	Sp13G02790	2822186	2822472	287	2.735
Spolyrhiza9509_20150416_chr17	Sp17G01730	1089290	1089576	287	0.436
Spolyrhiza9509_20150416_chr17	Sp17G02470	1614165	1614451	287	0.574
Spolyrhiza9509_20150416_chr17	Sp17G03440	2337680	2337966	287	7.281
Spolyrhiza9509_20150416_chr17	Sp17G03520	2355753	2356039	287	0.064
Spolyrhiza9509_20150416_chr17	Sp17G03670	2492643	2492929	287	0.283
Spolyrhiza9509_20150416_chr01	Sp01G05310	3303237	3303524	288	5.177
Spolyrhiza9509_20150416_chr02	Sp02G05200	3718916	3719203	288	0.5
Spolyrhiza9509_20150416_chr09	Sp09G02390	1356886	1357173	288	0.074
Spolyrhiza9509_20150416_chr11	Sp11G07110	5949748	5950035	288	2.134
Spolyrhiza9509_20150416_chr12	Sp12G05320	4443977	4444264	288	5.737
Spolyrhiza9509_20150416_chr12	Sp12G06020	5353336	5353623	288	5.932
Spolyrhiza9509_20150416_chr13	Sp13G02790	2822903	2823190	288	3.11
Spolyrhiza9509_20150416_chr17	Sp17G01730	1084697	1084984	288	4.407
Spolyrhiza9509_20150416_chr17	Sp17G01730	1085458	1085745	288	3.744
Spolyrhiza9509_20150416_chr17	Sp17G02450	1607358	1607645	288	0.904
Spolyrhiza9509_20150416_chr17	Sp17G02680	1739578	1739865	288	1.691
Spolyrhiza9509_20150416_chr17	Sp17G03410	2322572	2322859	288	2.595
Spolyrhiza9509_20150416_chr17	Sp17G03520	2356094	2356381	288	0.431
Spolyrhiza9509_20150416_chr01	Sp01G05310	3287586	3287874	289	3.591
Spolyrhiza9509_20150416_chr02	Sp02G05200	3713111	3713399	289	1.736
Spolyrhiza9509_20150416_chr02	Sp02G05200	3713619	3713907	289	8.482
Spolyrhiza9509_20150416_chr17	Sp17G03670	2492395	2492683	289	0.896
Spolyrhiza9509_20150416_chr02	Sp02G05200	3706657	3706946	290	12.05
Spolyrhiza9509_20150416_chr02	Sp02G05200	3710213	3710502	290	7.053
Spolyrhiza9509_20150416_chr07	Sp07G05500	5127356	5127645	290	0.065
Spolyrhiza9509_20150416_chr09	Sp09G01080	566987	567276	290	6.792
Spolyrhiza9509_20150416_chr11	Sp11G07140	5958312	5958601	290	2.613
Spolyrhiza9509_20150416_chr13	Sp13G02790	2823851	2824140	290	2.206
Spolyrhiza9509_20150416_chr13	Sp13G03150	3077785	3078074	290	0.498
Spolyrhiza9509_20150416_chr17	Sp17G01730	1082232	1082521	290	0.279
Spolyrhiza9509_20150416_chr17	Sp17G01730	1082969	1083258	290	3.296
Spolyrhiza9509_20150416_chr17	Sp17G01730	1085495	1085784	290	7.666
Spolyrhiza9509_20150416_chr17	Sp17G03440	2337724	2338013	290	4.494
Spolyrhiza9509_20150416_chr17	Sp17G03520	2357788	2358077	290	1.008
Spolyrhiza9509_20150416_chr02	Sp02G05200	3708146	3708436	291	2.681
Spolyrhiza9509_20150416_chr02	Sp02G05200	3712131	3712421	291	0.92
Spolyrhiza9509_20150416_chr07	Sp07G05410	5056597	5056887	291	0.214
Spolyrhiza9509_20150416_chr09	Sp09G02400	1363765	1364055	291	0.616
Spolyrhiza9509_20150416_chr17	Sp17G01730	1096317	1096607	291	1.51
Spolyrhiza9509_20150416_chr17	Sp17G03440	2337052	2337342	291	0.214
Spolyrhiza9509_20150416_chr17	Sp17G03660	2465496	2465786	291	9.718
Spolyrhiza9509_20150416_chr02	Sp02G05200	3704024	3704315	292	6.818
Spolyrhiza9509_20150416_chr02	Sp02G05200	3704170	3704461	292	0.292
Spolyrhiza9509_20150416_chr02	Sp02G05200	3704463	3704754	292	2.139
Spolyrhiza9509_20150416_chr02	Sp02G05200	3707853	3708144	292	0.78
Spolyrhiza9509_20150416_chr02	Sp02G05200	3708114	3708405	292	4.441
Spolyrhiza9509_20150416_chr02	Sp02G05200	3710577	3710868	292	6.285
Spolyrhiza9509_20150416_chr05	Sp05G06860	5887497	5887788	292	7.886
Spolyrhiza9509_20150416_chr05	Sp05G06860	5889203	5889494	292	3.75
Spolyrhiza9509_20150416_chr07	Sp07G05550	5242997	5243288	292	4.273
Spolyrhiza9509_20150416_chr11	Sp11G07110	5948870	5949161	292	0.284
Spolyrhiza9509_20150416_chr12	Sp12G06010	5344510	5344801	292	15.59
Spolyrhiza9509_20150416_chr17	Sp17G01730	1081542	1081833	292	1.033
Spolyrhiza9509_20150416_chr17	Sp17G01730	1082907	1083198	292	0.57
Spolyrhiza9509_20150416_chr17	Sp17G01730	1083053	1083344	292	0.572
Spolyrhiza9509_20150416_chr17	Sp17G01730	1085690	1085981	292	1.569
Spolyrhiza9509_20150416_chr17	Sp17G02470	1613899	1614190	292	0.643
Spolyrhiza9509_20150416_chr17	Sp17G02470	1616186	1616477	292	0.354
Spolyrhiza9509_20150416_chr17	Sp17G03410	2317449	2317740	292	0.07
Spolyrhiza9509_20150416_chr17	Sp17G03440	2337978	2338269	292	0.426
Spolyrhiza9509_20150416_chr05	Sp05G06860	5887690	5887982	293	3.09
Spolyrhiza9509_20150416_chr07	Sp07G05550	5243434	5243726	293	0.359
Spolyrhiza9509_20150416_chr07	Sp07G05580	5276085	5276377	293	0.352
Spolyrhiza9509_20150416_chr17	Sp17G01730	1082026	1082318	293	0.492
Spolyrhiza9509_20150416_chr17	Sp17G01730	1089203	1089495	293	0.488
Spolyrhiza9509_20150416_chr17	Sp17G01730	1105236	1105528	293	1.166
Spolyrhiza9509_20150416_chr17	Sp17G03670	2497627	2497919	293	2.088
Spolyrhiza9509_20150416_chr01	Sp01G05310	3297349	3297642	294	0.772
Spolyrhiza9509_20150416_chr02	Sp02G05200	3702975	3703268	294	3.648
Spolyrhiza9509_20150416_chr02	Sp02G05200	3703140	3703433	294	0.647
Spolyrhiza9509_20150416_chr07	Sp07G05540	5222362	5222655	294	9.675
Spolyrhiza9509_20150416_chr07	Sp07G05540	5222460	5222753	294	3.707
Spolyrhiza9509_20150416_chr07	Sp07G05580	5275709	5276002	294	11.58
Spolyrhiza9509_20150416_chr17	Sp17G01700	1069129	1069422	294	1.36
Spolyrhiza9509_20150416_chr17	Sp17G03410	2317524	2317817	294	3.189
Spolyrhiza9509_20150416_chr17	Sp17G03520	2356634	2356927	294	0.15
Spolyrhiza9509_20150416_chr17	Sp17G03520	2358344	2358637	294	3.133
Spolyrhiza9509_20150416_chr02	Sp02G05200	3713363	3713657	295	0.213
Spolyrhiza9509_20150416_chr05	Sp05G06860	5886525	5886819	295	0.061
Spolyrhiza9509_20150416_chr05	Sp05G06860	5886844	5887138	295	1.33
Spolyrhiza9509_20150416_chr12	Sp12G06010	5347312	5347606	295	7.214
Spolyrhiza9509_20150416_chr13	Sp13G02790	2823313	2823607	295	0.292
Spolyrhiza9509_20150416_chr13	Sp13G03150	3083596	3083890	295	2.801
Spolyrhiza9509_20150416_chr13	Sp13G03150	3083892	3084186	295	17.43
Spolyrhiza9509_20150416_chr17	Sp17G01730	1094740	1095034	295	1.422
Spolyrhiza9509_20150416_chr17	Sp17G02470	1616137	1616431	295	7.156
Spolyrhiza9509_20150416_chr17	Sp17G02670	1728157	1728451	295	0.073
Spolyrhiza9509_20150416_chr17	Sp17G03520	2357247	2357541	295	0.718
Spolyrhiza9509_20150416_chr17	Sp17G03670	2492347	2492641	295	0.142
Spolyrhiza9509_20150416_chr01	Sp01G05310	3300136	3300431	296	2.75
Spolyrhiza9509_20150416_chr02	Sp02G05200	3707817	3708112	296	1.603
Spolyrhiza9509_20150416_chr07	Sp07G05540	5221193	5221488	296	5.793
Spolyrhiza9509_20150416_chr17	Sp17G03410	2322424	2322719	296	4.686
Spolyrhiza9509_20150416_chr01	Sp01G05310	3289801	3290097	297	1.791
Spolyrhiza9509_20150416_chr02	Sp02G05090	3609219	3609515	297	2.085
Spolyrhiza9509_20150416_chr02	Sp02G05200	3712747	3713043	297	7.26
Spolyrhiza9509_20150416_chr13	Sp13G03150	3078341	3078637	297	0.361
Spolyrhiza9509_20150416_chr17	Sp17G01700	1068130	1068426	297	1.362
Spolyrhiza9509_20150416_chr17	Sp17G02470	1616106	1616402	297	0.789
Spolyrhiza9509_20150416_chr17	Sp17G03660	2463269	2463565	297	5.186
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608920	3609217	298	0.573
Spolyrhiza9509_20150416_chr02	Sp02G05200	3716825	3717122	298	8.972
Spolyrhiza9509_20150416_chr07	Sp07G05580	5276021	5276318	298	4.837
Spolyrhiza9509_20150416_chr12	Sp12G06010	5347091	5347388	298	3.6
Spolyrhiza9509_20150416_chr13	Sp13G01220	1106267	1106564	298	6.195
Spolyrhiza9509_20150416_chr17	Sp17G01730	1089111	1089408	298	2.219
Spolyrhiza9509_20150416_chr17	Sp17G03410	2318114	2318411	298	0.214
Spolyrhiza9509_20150416_chr17	Sp17G03410	2318664	2318961	298	0.429
Spolyrhiza9509_20150416_chr17	Sp17G03410	2319280	2319577	298	2.735
Spolyrhiza9509_20150416_chr17	Sp17G03670	2493230	2493527	298	5.55
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567749	2568047	299	5.343
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567978	2568276	299	3.099
Spolyrhiza9509_20150416_chr02	Sp02G05200	3702212	3702510	299	5.728
Spolyrhiza9509_20150416_chr02	Sp02G05200	3703724	3704022	299	3.088
Spolyrhiza9509_20150416_chr02	Sp02G05200	3714718	3715016	299	4.973
Spolyrhiza9509_20150416_chr02	Sp02G05200	3718839	3719137	299	1.102
Spolyrhiza9509_20150416_chr05	Sp05G03650	2545296	2545594	299	0.505
Spolyrhiza9509_20150416_chr07	Sp07G05550	5240282	5240580	299	1.675
Spolyrhiza9509_20150416_chr09	Sp09G02400	1364635	1364933	299	0.073
Spolyrhiza9509_20150416_chr17	Sp17G01730	1094783	1095081	299	0.426
Spolyrhiza9509_20150416_chr17	Sp17G02470	1613198	1613496	299	0.569
Spolyrhiza9509_20150416_chr17	Sp17G03440	2336955	2337253	299	2.485
Spolyrhiza9509_20150416_chr17	Sp17G03440	2337299	2337597	299	0.067
Spolyrhiza9509_20150416_chr17	Sp17G03520	2356540	2356838	299	2.178
Spolyrhiza9509_20150416_chr02	Sp02G05200	3705180	3705479	300	2.104
Spolyrhiza9509_20150416_chr02	Sp02G05200	3705768	3706067	300	0.728
Spolyrhiza9509_20150416_chr02	Sp02G05200	3718278	3718577	300	12.62
Spolyrhiza9509_20150416_chr05	Sp05G06860	5886792	5887091	300	3.153
Spolyrhiza9509_20150416_chr05	Sp05G06860	5887093	5887392	300	0.575
Spolyrhiza9509_20150416_chr07	Sp07G05540	5221899	5222198	300	3.844
Spolyrhiza9509_20150416_chr07	Sp07G05580	5275286	5275585	300	3.779
Spolyrhiza9509_20150416_chr09	Sp09G01080	565998	566297	300	5.855
Spolyrhiza9509_20150416_chr11	Sp11G07110	5949224	5949523	300	3.698
Spolyrhiza9509_20150416_chr11	Sp11G07140	5957969	5958268	300	0.723
Spolyrhiza9509_20150416_chr17	Sp17G01700	1067429	1067728	300	1.11
Spolyrhiza9509_20150416_chr17	Sp17G03410	2318196	2318495	300	3.717
Spolyrhiza9509_20150416_chr02	Sp02G05200	3703639	3703939	301	3.092
Spolyrhiza9509_20150416_chr02	Sp02G05200	3707904	3708204	301	1.547
Spolyrhiza9509_20150416_chr02	Sp02G05200	3707947	3708247	301	0.288
Spolyrhiza9509_20150416_chr07	Sp07G05550	5241615	5241915	301	2.543
Spolyrhiza9509_20150416_chr12	Sp12G06010	5345164	5345464	301	15.08
Spolyrhiza9509_20150416_chr13	Sp13G02790	2823146	2823446	301	3.471
Spolyrhiza9509_20150416_chr17	Sp17G01700	1067047	1067347	301	0.132
Spolyrhiza9509_20150416_chr17	Sp17G01700	1069817	1070117	301	1.703
Spolyrhiza9509_20150416_chr17	Sp17G01730	1103185	1103485	301	0.502
Spolyrhiza9509_20150416_chr17	Sp17G03410	2317140	2317440	301	0.207
Spolyrhiza9509_20150416_chr17	Sp17G03410	2317971	2318271	301	3.514
Spolyrhiza9509_20150416_chr17	Sp17G03410	2318464	2318764	301	1.986
Spolyrhiza9509_20150416_chr17	Sp17G03670	2501185	2501485	301	0.28
Spolyrhiza9509_20150416_chr02	Sp02G05090	3613192	3613493	302	8.806
Spolyrhiza9509_20150416_chr07	Sp07G05580	5274668	5274969	302	2.028
Spolyrhiza9509_20150416_chr11	Sp11G07150	5965470	5965771	302	4.257
Spolyrhiza9509_20150416_chr17	Sp17G01700	1067239	1067540	302	6.721
Spolyrhiza9509_20150416_chr17	Sp17G01730	1084735	1085036	302	5.282
Spolyrhiza9509_20150416_chr17	Sp17G03520	2357621	2357922	302	4.898
Spolyrhiza9509_20150416_chr17	Sp17G03520	2357657	2357958	302	1.347
Spolyrhiza9509_20150416_chr17	Sp17G03670	2491481	2491782	302	0.285
Spolyrhiza9509_20150416_chr02	Sp02G05200	3704928	3705230	303	2.604
Spolyrhiza9509_20150416_chr02	Sp02G05200	3713242	3713544	303	3.446
Spolyrhiza9509_20150416_chr03	Sp03G02530	1674664	1674966	303	0.344
Spolyrhiza9509_20150416_chr09	Sp09G01080	563453	563755	303	10.8
Spolyrhiza9509_20150416_chr17	Sp17G01730	1086895	1087197	303	1.352
Spolyrhiza9509_20150416_chr17	Sp17G03410	2318963	2319265	303	3.451
Spolyrhiza9509_20150416_chr17	Sp17G03520	2358221	2358523	303	0.356
Spolyrhiza9509_20150416_chr17	Sp17G03670	2499948	2500250	303	0.219
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293272	3293575	304	4.193
Spolyrhiza9509_20150416_chr02	Sp02G05200	3701793	3702096	304	4.721
Spolyrhiza9509_20150416_chr02	Sp02G05200	3712878	3713181	304	1.74
Spolyrhiza9509_20150416_chr07	Sp07G05580	5274289	5274592	304	2.079
Spolyrhiza9509_20150416_chr17	Sp17G01730	1098001	1098304	304	1.543
Spolyrhiza9509_20150416_chr17	Sp17G03410	2317878	2318181	304	3.563
Spolyrhiza9509_20150416_chr17	Sp17G03520	2356966	2357269	304	0.647
Spolyrhiza9509_20150416_chr17	Sp17G03670	2500179	2500482	304	0.136
Spolyrhiza9509_20150416_chr02	Sp02G05200	3713762	3714066	305	4.086
Spolyrhiza9509_20150416_chr07	Sp07G05550	5241355	5241659	305	1.262
Spolyrhiza9509_20150416_chr07	Sp07G05580	5275769	5276073	305	11.17
Spolyrhiza9509_20150416_chr17	Sp17G01730	1097351	1097655	305	1.067
Spolyrhiza9509_20150416_chr17	Sp17G02680	1739498	1739802	305	0.345
Spolyrhiza9509_20150416_chr17	Sp17G03410	2319436	2319740	305	0.211
Spolyrhiza9509_20150416_chr17	Sp17G03410	2322721	2323025	305	6.021
Spolyrhiza9509_20150416_chr17	Sp17G03520	2358444	2358748	305	3.184
Spolyrhiza9509_20150416_chr17	Sp17G03670	2486819	2487123	305	0.652
Spolyrhiza9509_20150416_chr17	Sp17G03670	2494610	2494914	305	0.567
Spolyrhiza9509_20150416_chr02	Sp02G05200	3702833	3703138	306	4.574
Spolyrhiza9509_20150416_chr02	Sp02G05200	3704567	3704872	306	9.239
Spolyrhiza9509_20150416_chr02	Sp02G05200	3710086	3710391	306	7.821
Spolyrhiza9509_20150416_chr02	Sp02G05200	3713879	3714184	306	11.11
Spolyrhiza9509_20150416_chr07	Sp07G05540	5220940	5221245	306	3.783
Spolyrhiza9509_20150416_chr13	Sp13G02790	2822338	2822643	306	4.946
Spolyrhiza9509_20150416_chr17	Sp17G01700	1068359	1068664	306	1.08
Spolyrhiza9509_20150416_chr17	Sp17G01730	1082120	1082425	306	1.036
Spolyrhiza9509_20150416_chr17	Sp17G01730	1098324	1098629	306	0.492
Spolyrhiza9509_20150416_chr17	Sp17G01730	1104929	1105234	306	2.299
Spolyrhiza9509_20150416_chr17	Sp17G03410	2317695	2318000	306	2.064
Spolyrhiza9509_20150416_chr17	Sp17G03470	2347467	2347772	306	0.712
Spolyrhiza9509_20150416_chr17	Sp17G03520	2356435	2356740	306	0.077
Spolyrhiza9509_20150416_chr17	Sp17G03520	2358165	2358470	306	3.035
Spolyrhiza9509_20150416_chr17	Sp17G03670	2498228	2498533	306	3.611
Spolyrhiza9509_20150416_chr17	Sp17G03670	2500449	2500754	306	1.783
Spolyrhiza9509_20150416_chr02	Sp02G05200	3704417	3704723	307	0.65
Spolyrhiza9509_20150416_chr02	Sp02G05200	3706349	3706655	307	5.112
Spolyrhiza9509_20150416_chr02	Sp02G05200	3709967	3710273	307	7.292
Spolyrhiza9509_20150416_chr02	Sp02G05200	3714145	3714451	307	6.914
Spolyrhiza9509_20150416_chr05	Sp05G06860	5884760	5885066	307	0.281
Spolyrhiza9509_20150416_chr07	Sp07G05580	5274156	5274462	307	3.731
Spolyrhiza9509_20150416_chr09	Sp09G01080	563558	563864	307	2.87
Spolyrhiza9509_20150416_chr12	Sp12G06010	5347390	5347696	307	5.231
Spolyrhiza9509_20150416_chr13	Sp13G02790	2822475	2822781	307	6.248
Spolyrhiza9509_20150416_chr13	Sp13G02790	2823503	2823809	307	1.721
Spolyrhiza9509_20150416_chr14	Sp14G01800	1137744	1138050	307	6.214
Spolyrhiza9509_20150416_chr17	Sp17G01730	1082629	1082935	307	0.639
Spolyrhiza9509_20150416_chr17	Sp17G01730	1097500	1097806	307	0.563
Spolyrhiza9509_20150416_chr17	Sp17G02670	1727845	1728151	307	2.748
Spolyrhiza9509_20150416_chr17	Sp17G03670	2482597	2482903	307	0.358
Spolyrhiza9509_20150416_chr01	Sp01G05310	3301178	3301485	308	0.223
Spolyrhiza9509_20150416_chr01	Sp01G05310	3303537	3303844	308	5.821
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608534	3608841	308	1.817
Spolyrhiza9509_20150416_chr02	Sp02G05200	3713023	3713330	308	6.244
Spolyrhiza9509_20150416_chr07	Sp07G05540	5222200	5222507	308	4.293
Spolyrhiza9509_20150416_chr07	Sp07G05580	5274522	5274829	308	0.211
